Алгоритм,Память,Время обучения,Время предикта,Recall,Precision,GAUC,MMR,NDCG,HitRate,MAP,AP,Gini,Shanon
BPR,734.4,26.2745 ,4.1708,0.0762,0.0076,0.5496,0.0281,0.0392,0.0762,0.0281,796.2073,0.898,0.0115
LINE,1099.6,45.129,4.1232,0.0671,0.0067,0.5046,0.0255,0.0351,0.0672,0.0255,755.3017,0.8883,0.0091
NeuMF,1156.8,64.3805,6.9197,0.194,0.0194,0.9092,0.0889,0.1136, 0.194,0.0889,2974.8106,0.9934,0.1484
DMF,1268.3,319.1452,4.4644,0.219,0.0219,0.8621,0.093,0.122,0.219,0.093,2849.2641,0.9934,0.0993
SpectralCF,1356.6,179.7777,3.5871,0.2125,0.0212,0.9083,0.0923,0.1205,0.2125,0.0923,2955.6274,0.9933,0.1501
LightGCN,1389.8,373.5255,4.0912,0.1118,0.0112,0.6347,0.0478,0.0627,0.112,0.0477,836.7153,0.8998,0.0087
MultiVAE,1515.4,152.994,5.1200,0.3147,0.0315,0.9145,0.1254,0.1695,0.3148,0.1254,1896.7606,0.9568,0.0061
CDAE,1505.8,48.74055,4.8027,0.2118,0.0212,0.7857,0.0934,0.1213,0.2118,0.0934,2884.8996,0.9933,0.1631
RaCT,1514.7,191.6188,5.5898,0.3191,0.0319,0.9131,0.1247,0.1701,0.3192,0.1246,1918.3159,0.9552,0.0061
SLIMElastic,718.8,1.457,4.1927,0.0035,0.0004,0.5,0.0012,0.0017,0.0035,0.0012,106.5594,0.9935,0.1921
ItemKNN,1146.1,3.5448,3.9594,0.1719,0.0172,0.7414,0.0728,0.0958,0.172,0.0728,316.1965,0.8754,0.0093
DiffRec,1408.8,231.5409,11.7269,0.2314,0.0232,0.7578,0.101,0.1316,0.2315,0.101,2291.9532,0.9704,0.0096
