Алгоритм,Память,Время обучения,Время предикта,Recall,Precision,GAUC,MMR,NDCG,HitRate,MAP,AP,Gini,Shanon
BPR,790.5,210.7821,2.6949,0.1625,0.1998,0.9266,0.4452,0.2556,0.7424,0.1517,1147.649,0.8849,0.0035
LINE,931.2,190.2903,2.6804,0.1468,0.1747,0.9203,0.4049,0.2252,0.7073,0.1286,721.7313,0.7913,0.0035
NeuMF,,,,,,,,,,,,,
DMF,,,,,,,,,,,,,
SpectralCF,,,,,,,,,,,,,
GCMC,,,,,,,,,,,,,
LightGCN,,,,,,,,,,,,,
MultiVAE,,,,,,,,,,,,,
CDAE,,,,,,,,,,,,,
RaCT,,,,,,,,,,,,,
SLIMElastic,,,,,,,,,,,,,
ItemKNN,,,,,,,,,,,,,
DiffRec,,,,,,,,,,,,,
